cn,label,en,cleaned_en
结成团的猫砂,8,Clumped cat litter,clumped cat litter
戒指,1,ring,ring
金戒指,1,gold ring,gold ring
毛巾,8,towel,towel
湿巾,8,Wipes,wipes
牛筋,4,Beef tendon,beef tendon
皮筋,8,Rubber band,rubber band
黄金,1,gold,gold
金属,1,Metal,metal
金鱼,4,goldfish,goldfish
香烟灰烬,8,Cigarette ashes,cigarette ashes
根茎蔬菜,4,Root vegetables,root vegetables
蔬菜茎叶,4,Vegetable stems and leaves,vegetable stems and leaves
水果茎枝,4,Fruit stems,fruit stems
液晶屏,1,LCD screen,lcd screen
液晶电视,1,LCD TV,lcd tv
鸡精,4,Chicken Essence,chicken essence
味精,4,MSG,msg
镜子,8,Mirror,mirror
墨镜,8,sunglasses,sunglasses
眼镜,8,Glasses,glasses
净水器,1,Water Purifier,water purifier
干净塑料,1,Clean plastic,clean plastic
净水滤芯,8,Water purification filter,water purification filter
韭菜,4,Chinese chives,chinese chives
针灸针,8,Acupuncture needles,acupuncture needles
酒酿,4,Fermented rice,fermented rice
酒瓶,1,Wine bottle,wine bottle
旧报,1,Old newspaper,old newspaper
旧书,1,Old book,old book
旧鞋,1,Old shoes,old shoes
聚乙烯饭盒,8,Polyethylene lunch box,polyethylene lunch box
收据,8,Receipt,receipt
数据线,1,Data line,data line
皮具,1,Leather goods,leather goods
蛋卷,4,Egg roll,egg roll
胶卷,2,film,film
卷烟,8,cigarette,cigarette
杀菌剂,2,Fungicide,fungicide
无菌包装塑料,8,Aseptic packaging plastic,aseptic packaging plastic
卡,8,Card,card
开心果,4,pistachio,pistachio
开心果壳,4,Pistachio shell,pistachio shell
旧报刊,1,Old newspapers,old newspapers
糠,4,bran,bran
糠饼,4,Bran cake,bran cake
考卷,1,Test paper,test paper
考试卷,1,Examination papers,examination papers
烤箱,1,oven,oven
烧烤棒,8,BBQ stick,bbq stick
靠垫,1,Cushion,cushion
靠枕,1,pillow,pillow
笔壳,8,Pen case,pen case
咳嗽糖浆,2,Cough syrup,cough syrup
可擦笔,8,Erasable pen,erasable pen
扑克,1,poker,poker
马克笔,8,marker,marker
空罐头,1,Empty can,empty can
空酒瓶,1,Empty wine bottle,empty wine bottle
遥控车,1,Remote control car,remote control car
遥控器,1,remote control,remote control
空调遥控器,1,air-conditioner remote,airconditioner remote
口红,8,Lipstick,lipstick
口罩,8,Facial mask,facial mask
纽扣,8,Buttons,buttons
钮扣,8,Buttons,buttons
纽扣电池,2,Button Battery,button battery
枯叶,4,Dead leaves,dead leaves
枯枝,4,Dead branches,dead branches
干枯花,4,Dried flower,dried flower
裤袜,1,Tights,tights
裤子,1,Pants,pants
铁块,1,Iron block,iron block
筷子,8,Chopsticks,chopsticks
木筷,1,Wooden chopsticks,wooden chopsticks
竹筷,8,Bamboo chopsticks,bamboo chopsticks
快餐盒,8,Fast food box,fast food box
塑料筐,1,Plastic baskets,plastic baskets
塑料篮筐,1,Plastic basket,plastic basket
塑料水果筐,1,Plastic fruit basket,plastic fruit basket
相框,1,Photo frame,photo frame
黑框眼镜,8,Black-rimmed glasses,blackrimmed glasses
矿水瓶,1,Mineral water bottle,mineral water bottle
矿泉水瓶,1,Mineral water bottles,mineral water bottles
矿泉水瓶子,1,Mineral water bottle,mineral water bottle
头盔,8,helmet,helmet
葵花籽,4,Sunflower seeds,sunflower seeds
葵花子壳,4,Sunflower husk,sunflower husk
葵花籽壳,4,Sunflower husk,sunflower husk
死昆虫,4,Dead insects,dead insects
垃圾桶,1,garbage can,garbage can
拉链,8,zipper,zipper
拉拉裤,8,Pull-up pants,pullup pants
蜡笔,8,crayon,crayon
蜡纸,8,stencil,stencil
腊肉,4,Bacon,bacon
辣酱,4,Hot sauce,hot sauce
辣条,4,Spicy strips,spicy strips
剩莱,4,Leftover,leftover
一次性莱盒,8,One-time Lei Box,onetime lei box
自来水滤芯,8,Tap water filter,tap water filter
蓝莓干,4,Dried blueberries,dried blueberries
塑胶菜蓝子,1,Plastic cabbage,plastic cabbage
花篮,8,Flower basket,flower basket
篮球,1,basketball,basketball
竹篮,8,Bamboo basket,bamboo basket
西兰花,4,broccoli,broccoli
电缆,1,cable,cable
烂桔,4,Rotten orange,rotten orange
烂桃,4,Rotten peach,rotten peach
烂菜叶,4,Rotten leaves,rotten leaves
槟榔,4,Betel nut,betel nut
榔头,1,Hammer,hammer
槟榔壳,4,Betel nut shell,betel nut shell
老鼠药,2,Rat poison,rat poison
死老鼠,4,dead mouse,dead mouse
奶酪,4,cheese,cheese
可乐杯,8,Coke cup,coke cup
可乐罐,1,Coke can,coke can
肋骨,8,rib cage,rib cage
肋排,4,Ribs,ribs
布类,1,Cloth,cloth
蛋类,4,Eggs,eggs
擦眼泪的纸,8,Paper for wiping tears,paper for wiping tears
瓦楞纸,1,corrugated paper,corrugated paper
冷饮,8,cold drink,cold drink
冷饮棒,8,Cold drink stick,cold drink stick
冷饮袋,8,Cold drink bag,cold drink bag
车厘子,4,cherries,cherries
梨,4,pear,pear
离心纸,8,Centrifuge paper,centrifuge paper
钢笔里的墨囊,8,Ink sac in a pen,ink sac in a pen
纸制糖果礼盒,1,Paper candy gift box,paper candy gift box
荔枝核,4,Lychee,lychee
荔枝壳,4,Lychee Shell,lychee shell
荔枝干壳,4,Lychee Dried Shell,lychee dried shell
栗子,4,Chestnut,chestnut
板栗壳,4,Chestnut shell,chestnut shell
可丽饼,4,Crepe,crepe
麦丽素,4,Melissa,melissa
日历,1,calendar,calendar
台历,1,Desk calendar,desk calendar
便利贴,8,Post-it,postit
乐利包,1,Le Li Bao,le li bao
利乐包,1,Tetra Pak,tetra pak
果粒,4,Fruit,fruit
牛肉粒包装袋,8,Beef cube packaging bag,beef cube packaging bag
沥水架,1,Drain rack,drain rack
磁力片,8,Magnetic sheet,magnetic sheet
魔力擦,8,Magic wipe,magic wipe
巧克力,4,chocolate,chocolate
琉璃,1,Liuli,liuli
联通卡,8,Unicom Card,unicom card
莲藕,4,Lotus root,lotus root
莲蓬,4,Lotus,lotus
莲雾,4,wax apple,wax apple
连裤袜,1,Pantyhose,pantyhose
连衣裙,1,dress,dress
骨肉相连,4,Connected with flesh and blood,connected with flesh and blood
洗脸巾,8,Face towel,face towel
护脸霜瓶,1,Face cream bottle,face cream bottle
塑料脸盆,1,Plastic washbasin,plastic washbasin
项链,1,necklace,necklace
金属拉链,1,Metal zipper,metal zipper
练习本,1,excercise book,excercise book
狗粮,4,Dog food,dog food
粮食,4,food,food
猫粮,4,Cat food,cat food
凉皮,4,Liangpi,liangpi
凉席,8,Summer mat,summer mat
空调两用风扇,1,Air conditioner dual purpose fan,air conditioner dual purpose fan
少量泥土,8,A small amount of soil,a small amount of soil
晾衣架,1,Drying rack,drying rack
塑料晾衣架,1,Plastic drying rack,plastic drying rack
坏了的碗,1,Broken bowl,broken bowl
破了的碗,1,Broken bowl,broken bowl
坏了的玩具,1,Broken toy,broken toy
布料,1,Cloth,cloth
盘尼西林,2,penicillin,penicillin
鱼鳞,4,Fish scales,fish scales
鱼鳞鱼肠,4,Fish scales fish intestines,fish scales fish intestines
冰淇淋,4,ice cream,ice cream
零食,4,snack,snack
零食袋,8,Snack bag,snack bag
零食罐,8,Snack jar,snack jar
哑铃,1,dumbbel,dumbbel
马铃薯,4,potato,potato
马铃薯片,4,Potato chips,potato chips
领带,1,tie,tie
红领巾,1,red scarf,red scarf
毛领子,1,Fur collar,fur collar
溜溜球,8,Yo-Yo,yoyo
榴莲干,4,Dried Durian,dried durian
榴莲核,8,Durian core,durian core
榴莲壳,8,Durian Shell,durian shell
镇流器,1,Ballast,ballast
电子镇流器,1,Electronic ballast,electronic ballast
龙虾,4,lobster,lobster
大龙虾,4,Lobsters,lobsters
龙虾壳,4,Lobster shell,lobster shell
鸟笼,8,birdcage,birdcage
芦荟,4,Aloe,aloe
芦稷,4,Lu Ji,lu ji
芦稷皮,8,Reed,reed
甜卢蜀,4,Sweet Lu Shu,sweet lu shu
炉渣,8,Slag,slag
电磁炉,1,induction cooker,induction cooker
电暖炉,1,Electric heater,electric heater
卤素灯,2,Halogen lamp,halogen lamp
卤素灯泡,2,Halogen bulb,halogen bulb
花露水瓶,1,Toilet water bottle,toilet water bottle
沐浴露瓶,1,Shower gel bottle,shower gel bottle
洗发露瓶,1,Shampoo bottle,shampoo bottle
电路板,1,Circuit board,circuit board
路由器,1,router,router
线路板,1,circuit board,circuit board
录像带,2,Videotape,videotape
录音机,1,recorder,recorder
铝,1,aluminum,aluminum
旅行袋,1,Travel bag,travel bag
旅游时报,1,Travel times,travel times
滤网,8,Filter,filter
滤芯,8,Filter element,filter element
绿豆,4,green beans,green beans
绿萝,4,Green dill,green dill
海螺,8,conch,conch
花螺,8,Flower snail,flower snail
螺帽,1,Nut,nut
绿箩,4,Green basket,green basket
落发,8,Hair loss,hair loss
落叶,4,Fallen leaves,fallen leaves
落花生,4,peanut,peanut
姨妈巾,8,Aunt towel,aunt towel
老干妈辣酱,4,Lao Gan Ma Hot Sauce,lao gan ma hot sauce
麻布,1,Azabu,azabu
麻袋,8,sack,sack
麻绳,8,hemp rope,hemp rope
密码锁,1,password,password
马肉,4,horsemeat,horsemeat
买菜的包装袋,8,Grocery bags,grocery bags
麦子,4,wheat,wheat
烧卖,4,Siu mai,siu mai
外卖盒,8,Takeaway box,takeaway box
外卖餐盒,8,Takeaway lunch box,takeaway lunch box
馒头,4,Steamed bun,steamed bun
蔓藤,4,Vine,vine
藤蔓,4,vine,vine
漫画,1,comics,comics
漫画书,1,comic book,comic book
芒果,4,mango,mango
芒果干,4,Dried mango,dried mango
芒果核,4,Mango pit,mango pit
貂毛,8,Mink,mink
狗毛,8,Dog hair,dog hair
帽子,1,hat,hat
浴帽,8,Shower cap,shower cap
泡沫箱属于什么垃圾,1,What kind of rubbish does the foam box belong to?,what kind of rubbish does the foam box belong to
杨梅,4,Bayberry,bayberry
发霉食物,4,Moldy food,moldy food
煤饼,8,briquette,briquette
煤灰,8,coal ash,coal ash
煤渣,8,cinder,cinder
没用过尿片,8,Never used diapers,never used diapers
没用过的纸杯,8,Unused paper cup,unused paper cup
没用过的尿不湿,8,Unused diapers,unused diapers
眉笔,8,eyebrow pencil,eyebrow pencil
美瞳,8,Cosmetic contact lenses,cosmetic contact lenses
门锁,1,Door lock,door lock
柠檬,4,lemon,lemon
米,4,Meter,meter
大米,4,Rice,rice
菠萝蜜,4,jackfruit,jackfruit
棉,1,cotton,cotton
海绵,8,sponge,sponge
海绵垫,8,Sponge mats,sponge mats
海绵纸,8,Sponge paper,sponge paper
面,4,noodle,noodle
面包,4,bread,bread
灭火器,1,Fire extinguisher,fire extinguisher
灭蚊剂,2,Mosquito killer,mosquito killer
废灭火器,1,Waste fire extinguisher,waste fire extinguisher
玻璃器皿,1,glassware,glassware
明信片,8,postcard,postcard
三明治,4,sandwich,sandwich
说明书,1,manual,manual
名画,8,Famous paintings,famous paintings
名片,1,business card,business card
塑料模型,1,Plastic model,plastic model
面膜,8,Facial mask,facial mask
磨刀器,1,knife sharpener,knife sharpener
磨砂膏,8,Scrub,scrub
摩丝,8,mousse,mousse
摩易擦,8,Easy to wipe,easy to wipe
魔笔,8,Magic pen,magic pen
抹布,8,rag,rag
废抹布,8,Waste wipes,waste wipes
旧抹布,8,Old rag,old rag
速溶饮料粉末,4,Instant beverage powder,instant beverage powder
墨粉,8,Toner,toner
墨盒,1,Ink cartridge,ink cartridge
默写本,1,Transcript,transcript
泡沫,1,Foam,foam
肉沫,4,Minced meat,minced meat
泡沫板,1,Foam board,foam board
牡蛎壳,8,Oyster shell,oyster shell
牡蛎肉,4,Oyster Meat,oyster meat
吃剩下的牡蛎壳,8,Eat leftover oyster shells,eat leftover oyster shells
屏幕,1,Screen,screen
荧幕,1,Screen,screen
电脑屏幕,1,computer screen,computer screen
树叶是那种垃圾,4,Leaves are the kind of garbage,leaves are the kind of garbage
收纳箱,1,Storage Box,storage box
塑料收纳盒,1,Plastic storage box,plastic storage box
奶粉,4,milk powder,milk powder
奶盒,1,Milk box,milk box
南瓜,4,pumpkin,pumpkin
南瓜皮,4,Pumpkin peel,pumpkin peel
南瓜子壳,4,Pumpkin Seed Shell,pumpkin seed shell
笔囊,8,Pen pouch,pen pouch
胶囊,2,capsule,capsule
墨囊,8,Ink sac,ink sac
电脑,1,computer,computer
猪脑,4,Pig brain,pig brain
电脑包,1,laptop bag,laptop bag
闹钟,1,Alarm clock,alarm clock
内裤,8,Panties,panties
内衣,8,underwear,underwear
内脏,4,Viscera,viscera
花泥,8,Flower mud,flower mud
尼龙绳,8,nylon rope,nylon rope
尼龙丝袜,8,Nylon stockings,nylon stockings
尼龙制品,8,Nylon products,nylon products
油腻的餐巾纸,8,Greasy napkin,greasy napkin
年糕,4,rice cake,rice cake
少年报,1,Youth Daily,youth daily
尿布,8,diaper,diaper
尿垫,8,Changing pad,changing pad
尿裤,8,Diapers,diapers
镍镉电池,2,Nickel-cadmium batteries,nickelcadmium batteries
牛,4,Cattle,cattle
塑料纽扣,1,Plastic buttons,plastic buttons
农药片,2,Pesticide tablets,pesticide tablets
圣女果,4,Cherry tomatoes,cherry tomatoes
女生内衣,8,Girls underwear,girls underwear
女性卫生用品,8,Feminine hygiene products,feminine hygiene products
暖瓶,1,thermos bottle,thermos bottle
保暖瓶,1,Thermos bottle,thermos bottle
呕吐包,8,Vomiting bag,vomiting bag
呕吐物,4,Vomit,vomit
布偶,1,Puppet,puppet
玩偶,1,doll,doll
布玩偶,1,Cloth doll,cloth doll
手帕,8,handkerchief,handkerchief
电蚊拍,1,Electric mosquito swatter,electric mosquito swatter
大排,4,Big row,big row
鸡排,4,Chicken chop,chicken chop
铜牌,1,bronze medal,bronze medal
菠萝派,4,Pineapple Pie,pineapple pie
U盘,1,U Disk,u disk
乒乓板,8,Ping pong board,ping pong board
乒乓球,1,pingpong,pingpong
日抛美瞳,8,Daily cosmetic contact lenses,daily cosmetic contact lenses
灯炮,2,Light bulb,light bulb
泡面,4,Instant noodles,instant noodles
泡馍,4,Pao Mo,pao mo
水培植物,4,Hydroponic plants,hydroponic plants
电脑配件,1,Computer Accessories,computer accessories
铝喷雾瓶,1,Aluminum spray bottle,aluminum spray bottle
喷蟑螂瓶,2,Cockroach spray bottle,cockroach spray bottle
杀虫喷雾,2,Insecticide spray,insecticide spray
花盆,8,flowerpot,flowerpot
铝盆,1,Aluminum basin,aluminum basin
盆栽,4,Potted plants,potted plants
帐篷,16,tent,tent
膨化食品,4,Puffed food,puffed food
膨化食品包装,8,Puffed food packaging,puffed food packaging
披萨,4,Pizza,pizza
雨披,8,poncho,poncho
披萨盒,8,Pizza box,pizza box
啤酒盖,1,Beer cap,beer cap
啤酒罐,1,Beer can,beer can
啤酒瓶,1,beer bottle,beer bottle
菜皮,4,Vegetable peel,vegetable peel
草皮,4,turf,turf
漂白粉,8,bleaching powder,bleaching powder
漂白剂罐,2,Bleach tank,bleach tank
票,8,ticket,ticket
食品,4,food,food
饰品,8,accessories,accessories
药品,2,drug,drug
苹果,4,Apple,apple
烂苹果,4,Rotten apple,rotten apple
苹果核,4,Apple core,apple core
平底锅,1,Saucepan,saucepan
平板玻璃,1,plate glass,plate glass
平板电脑,1,tablet,tablet
电瓶,1,Battery,battery
破布,1,rag,rag
破碗,8,Broken bowl,broken bowl
破瓷品,8,Broken porcelain,broken porcelain
扑克牌,1,Playing cards,playing cards
猪肉铺,4,Pork shop,pork shop
葡萄,4,Grape,grape
葡萄皮,4,grapeskin,grapeskin
普通塑料袋,8,Ordinary plastic bag,ordinary plastic bag
过期药,2,Expired medicine,expired medicine
过期饼干,4,Expired cookies,expired cookies
漆桶,2,Paint bucket,paint bucket
油漆,2,paint,paint
废油漆,2,Waste paint,waste paint
其他垃圾桶,1,Other trash cans,other trash cans
象棋,8,Chess,chess
曲奇,4,Cookies,cookies
吃过的奇趣蛋,8,Funny eggs,funny eggs
电器,1,Electrical appliances,electrical appliances
陶器,8,Pottery,pottery
气球,8,balloon,balloon
充气娃,1,Inflatable baby,inflatable baby
煤气罐,1,Gas tank,gas tank
废弃布包,1,Discarded cloth bag,discarded cloth bag
废弃地毯,1,Abandoned carpet,abandoned carpet
废弃电线,1,Discarded wires,discarded wires
铅笔,8,pencil,pencil
铅桶,1,Lead bucket,lead bucket
铅芯,8,Lead core,lead core
棉签,8,Cotton swab,cotton swab
指甲钳,1,Nail clippers,nail clippers
金枪鱼罐头,1,Canned tuna,canned tuna
墙刷,8,Wall brush,wall brush
一块墙皮,8,A piece of wall covering,a piece of wall covering
强化玻璃,1,Tempered glass,tempered glass
敲碎的碗,8,Broken bowl,broken bowl
巧克力袋子,8,Chocolate bag,chocolate bag
巧克力盒子,8,Chocolate box,chocolate box
茄子,4,eggplant,eggplant
电子琴,1,Electronic organ,electronic organ
芹菜,4,celery,celery
芹菜叶,4,Celery leaves,celery leaves
家禽内脏,4,Poultry offal,poultry offal
青菜,4,Green vegetables,green vegetables
氢气罐,1,Hydrogen tank,hydrogen tank
氢气球,8,Helium balloon,helium balloon
氢气球充气钢瓶,1,Hydrogen balloon gas cylinder,hydrogen balloon gas cylinder
滤清器,8,Filter,filter
汽车空气滤清器,1,Car air filter,car air filter
情趣内衣,8,Sexy lingerie,sexy lingerie
琼脂,4,Agar,agar
营养琼脂,4,Nutrient agar,nutrient agar
秋衣,1,Autumn clothes,autumn clothes
棉球,8,Cotton ball,cotton ball
皮球,1,Ball,ball
驱蚊瓶,1,Mosquito repellent bottle,mosquito repellent bottle
发圈,8,Hair ring,hair ring
铁圈,1,Iron ring,iron ring
甜甜圈,4,Donut,donut
围裙,1,apron,apron
燃油罐,1,Fuel tank,fuel tank
染发剂罐,2,Hair dye tank,hair dye tank
染发剂壳,2,Hair dye shell,hair dye shell
污染报纸,8,Polluting newspapers,polluting newspapers
丝瓜瓤,4,Loofah,loofah
电热毯,1,Electric blanket,electric blanket
退热贴,8,Antipyretic stickers,antipyretic stickers
电热水袋,1,Electric hot water bottle,electric hot water bottle
杏仁,4,almond,almond
瓜子仁,4,Melon seeds,melon seeds
虾仁壳,4,Shrimp shell,shrimp shell
无人机,1,Drone,drone
仙人球,4,Cactus,cactus
日报,1,daily,daily
日光灯,2,fluorescent lamp,fluorescent lamp
有机溶剂,2,Organic solvents,organic solvents
速溶咖啡包装,8,Instant coffee packaging,instant coffee packaging
电容器,1,Capacitor,capacitor
美容仪,1,Beauty Instrument,beauty instrument
玻璃制容器,1,Glass container,glass container
绒娃娃,1,Velvet doll,velvet doll
绒线衣,1,Sweater,sweater
羽绒被,1,Duvet,duvet
棉柔巾,8,Cotton soft towel,cotton soft towel
肉,4,Meat,meat
大骨（如：猪腿骨）,8,Large bones (e.g. pork leg bones),large bones eg pork leg bones
乳牙,8,Deciduous teeth,deciduous teeth
豆腐乳,4,fermented bean curd,fermented bean curd
沐浴乳,8,Body Wash,body wash
入厕用纸,8,Toilet paper,toilet paper
软骨,4,Cartilage,cartilage
软盘,8,floppy disk,floppy disk
软糖,4,Fudge,fudge
润发乳,8,Conditioner,conditioner
花洒,1,Shower,shower
披萨饼盒,8,Pizza Box,pizza box
木塞,8,Cork,cork
软木塞,8,cork,cork
酒瓶塞子,8,Wine bottle stopper,wine bottle stopper
三杯鸡,4,Three cups chicken,three cups chicken
三文鱼,4,salmon,salmon
伞,8,umbrella,umbrella
雨伞,8,umbrella,umbrella
旧雨伞,8,Old umbrella,old umbrella
散粉,8,Loose powder,loose powder
桑叶,4,Mulberry Leaf,mulberry leaf
扫帚,8,broom,broom
扫地机,1,Sweeper,sweeper
彩色笔,8,colour pencil,colour pencil
标签色带,8,Label ribbon,label ribbon
彩色玻璃,1,Multicolored Glass,multicolored glass
猫砂,8,Cat litter,cat litter
砂锅,8,Casserole,casserole
砂皮,8,Sand skin,sand skin
杀虫剂,2,Insecticide,insecticide
猫沙,8,Nekosha,nekosha
纱布,8,gauze,gauze
纱窗,8,Screen window,screen window
防晒霜,8,Sunscreen,sunscreen
防晒霜罐,1,Sunscreen jar,sunscreen jar
山芋,4,Yam,yam
山竹,4,Mangosteen,mangosteen
羊毛衫,1,Wool sweater,wool sweater
电扇,1,Electric fan,electric fan
烫伤膏,2,Burn ointment,burn ointment
纸质商标,8,Paper trademark,paper trademark
上衣,1,Jacket,jacket
床上用品,1,bed linings,bed linings
烧鸡,4,Roast chicken,roast chicken
红烧肉,4,Braised pork,braised pork
勺子,1,spoon,spoon
塑料勺,8,Plastic spoon,plastic spoon
蛇皮袋,8,Snakeskin bag,snakeskin bag
摄像机,1,Video camera,video camera
摄像头,1,Camera,camera
注射器,8,syringe,syringe
无菌注射器包装,8,Sterile syringe packaging,sterile syringe packaging
养身壶,1,Health pot,health pot
花生,4,peanut,peanut
生菜,4,lettuce,lettuce
生蚝,8,Oysters,oysters
棉绳,8,Cotton rope,cotton rope
绳子,1,rope,rope
盛装湿垃圾的垃圾袋,8,Garbage bags for wet garbage,garbage bags for wet garbage
剩菜,4,Leftovers,leftovers
剩餐,4,Leftovers,leftovers
剩饭,4,Leftovers,leftovers
螺狮,4,Snail,snail
螺狮壳,4,Snail shell,snail shell
施工安全帽,1,Construction helmet,construction helmet
湿纸,8,Wet paper,wet paper
使用的餐巾纸,8,Napkins used,napkins used
使用过的餐盒,8,Used lunch box,used lunch box
使用过的猫砂,8,Used cat litter,used cat litter
废台式机,1,Scrap desktop,scrap desktop
硬式磁碟机,1,Hard drive,hard drive
显示器,1,monitor,monitor
显示屏幕,1,display screen,display screen
芝士,4,Cheese,cheese
芝士片,4,Cheese slices,cheese slices
西红柿,4,tomato,tomato
乐事薯片,4,Lay's Potato Chips,lays potato chips
擦拭过的餐巾纸,8,Wiped napkin,wiped napkin
油漆稀释剂,2,Paint thinner,paint thinner
电视,1,television,television
电视机,1,TV set,tv set
废电视,1,Waste TV,waste tv
试卷,1,Test paper,test paper
试纸,8,Test paper,test paper
寿司,4,sushi,sushi
受污纸巾,8,Contaminated paper towels,contaminated paper towels
受潮的纸张,1,Damp paper,damp paper
受过污染的纸,8,Contaminated paper,contaminated paper
蔬菜,4,vegetable,vegetable
蔬果,4,Fruits and vegetables,fruits and vegetables
烂蔬菜,4,Rotten vegetables,rotten vegetables
木梳,1,Wooden comb,wooden comb
梳子,8,comb,comb
木梳子,1,Wooden comb,wooden comb
书,1,Book,book
熟菜,4,ready meal,ready meal
熟鸡蛋,4,Hard-boiled eggs,hardboiled eggs
熟虾壳,4,Cooked Shrimp Shell,cooked shrimp shell
薯片,4,potato chips,potato chips
甜芦黍,4,Sweet reed,sweet reed
废金属,1,Scrap metal,scrap metal
金属罐,1,Metal can,metal can
美术袋,8,Art bag,art bag
美术黏土,8,Art clay,art clay
树皮,4,Bark,bark
数学书,1,Math book,math book
漱口水瓶子,1,Mouthwash bottle,mouthwash bottle
牙刷,8,toothbrush,toothbrush
化妆刷,8,Makeup brush,makeup brush
面霜,8,cream,cream
眼霜,8,Eye cream,eye cream
双面胶,8,Double-sided tape,doublesided tape
双面胶带,8,double-sided tape,doublesided tape
爽肤水瓶,1,Toner bottle,toner bottle
胶水,8,glue,glue
水笔,8,Pen,pen
水彩,8,watercolor,watercolor
纸质说明书,1,Paper instructions,paper instructions
瓦斯桶,1,Gas barrel,gas barrel
手撕猪肉,4,Pulled pork,pulled pork
钢丝,1,Steel wire,steel wire
死花,4,Dead flower,dead flower
饲料,4,feed,feed
猫饲料,4,Cat feed,cat feed
饲料袋,8,Feed bag,feed bag
松子,4,Pine nuts,pine nuts
松子壳,4,Pine nut shell,pine nut shell
松木猫砂,8,Pine cat litter,pine cat litter
素菜,4,Vegetable,vegetable
快速面盒,8,Fast noodle box,fast noodle box
速冻饺子,4,Quick-frozen dumplings,quickfrozen dumplings
速冻水饺,4,Quick-frozen dumplings,quickfrozen dumplings
粟子壳,4,Millet shell,millet shell
甜芦粟,4,Sweet milo,sweet milo
甜芦粟皮,8,Sweet Milo Bark,sweet milo bark
塑料,1,plastic,plastic
废塑料,1,waste plastic,waste plastic
酸奶袋,8,Yogurt bag,yogurt bag
酸奶盖,8,Yogurt cover,yogurt cover
蒜,4,garlic,garlic
大蒜,4,garlic,garlic
废弃计算机,1,Discarded computer,discarded computer
碎布,1,Rags,rags
碎瓷,8,Broken Porcelain,broken porcelain
碎骨,4,Broken bones,broken bones
玉米穗,4,Ear of corn,ear of corn
破损瓷器,8,Broken porcelain,broken porcelain
污损纸张,8,Stained paper,stained paper
破损垃圾袋,8,Damaged garbage bag,damaged garbage bag
笋壳,4,Bamboo shell,bamboo shell
笋皮,4,Bamboo shoot skin,bamboo shoot skin
竹笋,4,Bamboo shoots,bamboo shoots
梭子蟹,4,Portunus,portunus
压缩瓶,1,Compressed bottle,compressed bottle
锁,1,Lock,lock
锁头,1,Lock,lock
厕所手纸,8,Toilet paper,toilet paper
蛋挞,4,egg tart,egg tart
蛋挞壳,8,Egg tart shell,egg tart shell
蛋挞皮,4,Egg tart wrapper,egg tart wrapper
废踏垫,8,Waste mat,waste mat
脚踏板,8,Foot pedal,foot pedal
海苔,4,Seaweed,seaweed
海苔袋子,8,Seaweed bag,seaweed bag
台灯,1,desk lamp,desk lamp
印台,8,stamp pad,stamp pad
太阳帽,1,sunhat,sunhat
太阳能热水管,1,Solar hot water pipe,solar hot water pipe
太阳能热水器,1,solar water heaters,solar water heaters
痰盂罐,1,Spittoon,spittoon
毛毯,1,Blanket,blanket
碳灰,8,ash,ash
碳粉匣,1,Toner Cartridge,toner cartridge
碳纤维,8,carbon fiber,carbon fiber
木炭,8,charcoal,charcoal
炭包,8,Charcoal package,charcoal package
汤骨,8,Soup bone,soup bone
鱼汤,4,Fish soup,fish soup
火锅汤底,4,Hot pot soup base,hot pot soup base
搪瓷,1,enamel,enamel
搪瓷杯,8,Enamel Cup,enamel cup
搪瓷碗,1,Enamel bowl,enamel bowl
糖,4,sugar,sugar
红糖,4,brown sugar,brown sugar
麻辣烫,4,Mala Tang,mala tang
黄桃,4,Yellow peach,yellow peach
桃板,4,Peach board,peach board
淘宝纸盒,1,Taobao carton,taobao carton
碎陶,8,Broken pottery,broken pottery
陶瓷,8,ceramics,ceramics
笔套,8,Pen case,pen case
耳套,1,earmuffs,earmuffs
藤席,8,Fuji seat,fuji seat
旧手提包,1,Old handbag,old handbag
手提电脑,1,laptop,laptop
蹄髈,4,Hoof,hoof
猪蹄,4,Trotters,trotters
擦鼻涕纸,8,Snot paper,snot paper
剃须刀,1,Shaver,shaver
剃须刀片,1,Razor blade,razor blade
剃须泡瓶,1,Shaving foam bottle,shaving foam bottle
泡沫填充,8,Foam filling,foam filling
田螺,4,river snail,river snail
甜瓜,4,melon,melon
布条,1,Cloth,cloth
面条,4,Noodle,noodle
跳蛋,8,Vibrating egg,vibrating egg
跳跳糖包装袋,8,Popping candy packaging bag,popping candy packaging bag
贴纸,8,sticker,sticker
铁,1,iron,iron
暖宝宝帖,8,Warm baby post,warm baby post
餐厅纸,8,Restaurant paper,restaurant paper
家庭花卉,4,Family flowers,family flowers
家庭绿化,4,Family Greening,family greening
家庭盆栽树叶,4,Family potted leaves,family potted leaves
铜皮,1,Copper,copper
废铜烂铁,1,Scrap copper and rotten iron,scrap copper and rotten iron
儿童尿不湿,8,Diapers in children,diapers in children
儿童电动玩具,1,Children's electric toys,childrens electric toys
木桶,1,Wooden barrel,wooden barrel
筒骨,8,Tube bone,tube bone
针筒,2,Syringe,syringe
骨头,8,bone,bone
透明胶,8,Transparent glue,transparent glue
透明胶带,8,Scotch tape,scotch tape
一次性透明盒子,8,One-time transparent box,onetime transparent box
地图,1,map,map
图画,8,picture,picture
涂料,2,coating,coating
涂料桶,2,Paint bucket,paint bucket
屠龙刀,1,Dragon Sword,dragon sword
土豆,4,Potato,potato
