cn,label,en
名画,8,Famous paintings
名片,1,business card
塑料模型,1,Plastic model
面膜,8,Facial mask
磨刀器,1,knife sharpener
磨砂膏,8,Scrub
摩丝,8,mousse
摩易擦,8,Easy to wipe
魔笔,8,Magic pen
抹布,8,rag
废抹布,8,Waste wipes
旧抹布,8,Old rag
速溶饮料粉末,4,Instant beverage powder
墨粉,8,Toner
墨盒,1,Ink cartridge
默写本,1,Transcript
泡沫,1,Foam
肉沫,4,Minced meat
泡沫板,1,Foam board
牡蛎壳,8,Oyster shell
牡蛎肉,4,Oyster Meat
吃剩下的牡蛎壳,8,Eat leftover oyster shells
屏幕,1,Screen
荧幕,1,Screen
电脑屏幕,1,computer screen
树叶是那种垃圾,4,Leaves are the kind of garbage
收纳箱,1,Storage Box
塑料收纳盒,1,Plastic storage box
奶粉,4,milk powder
奶盒,1,Milk box
南瓜,4,pumpkin
南瓜皮,4,Pumpkin peel
南瓜子壳,4,Pumpkin Seed Shell
笔囊,8,Pen pouch
胶囊,2,capsule
墨囊,8,Ink sac
电脑,1,computer
猪脑,4,Pig brain
电脑包,1,laptop bag
闹钟,1,Alarm clock
内裤,8,Panties
内衣,8,underwear
内脏,4,Viscera
花泥,8,Flower mud
尼龙绳,8,nylon rope
尼龙丝袜,8,Nylon stockings
尼龙制品,8,Nylon products
油腻的餐巾纸,8,Greasy napkin
年糕,4,rice cake
少年报,1,Youth Daily
尿布,8,diaper
尿垫,8,Changing pad
尿裤,8,Diapers
镍镉电池,2,Nickel-cadmium batteries
牛,4,Cattle
塑料纽扣,1,Plastic buttons
农药片,2,Pesticide tablets
圣女果,4,Cherry tomatoes
女生内衣,8,Girls underwear
女性卫生用品,8,Feminine hygiene products
暖瓶,1,thermos bottle
保暖瓶,1,Thermos bottle
呕吐包,8,Vomiting bag
呕吐物,4,Vomit
布偶,1,Puppet
玩偶,1,doll
布玩偶,1,Cloth doll
手帕,8,handkerchief
电蚊拍,1,Electric mosquito swatter
大排,4,Big row
鸡排,4,Chicken chop
铜牌,1,bronze medal
菠萝派,4,Pineapple Pie
U盘,1,U Disk
乒乓板,8,Ping pong board
乒乓球,1,pingpong
日抛美瞳,8,Daily cosmetic contact lenses
灯炮,2,Light bulb
泡面,4,Instant noodles
泡馍,4,Pao Mo
水培植物,4,Hydroponic plants
电脑配件,1,Computer Accessories
铝喷雾瓶,1,Aluminum spray bottle
喷蟑螂瓶,2,Cockroach spray bottle
杀虫喷雾,2,Insecticide spray
花盆,8,flowerpot
铝盆,1,Aluminum basin
盆栽,4,Potted plants
帐篷,16,tent
膨化食品,4,Puffed food
膨化食品包装,8,Puffed food packaging
披萨,4,Pizza
雨披,8,poncho
披萨盒,8,Pizza box
啤酒盖,1,Beer cap
啤酒罐,1,Beer can
啤酒瓶,1,beer bottle
菜皮,4,Vegetable peel
草皮,4,turf
漂白粉,8,bleaching powder
漂白剂罐,2,Bleach tank
票,8,ticket
食品,4,food
饰品,8,accessories
药品,2,drug
苹果,4,Apple
烂苹果,4,Rotten apple
苹果核,4,Apple core
平底锅,1,Saucepan
平板玻璃,1,plate glass
平板电脑,1,tablet
电瓶,1,Battery
破布,1,rag
破碗,8,Broken bowl
破瓷品,8,Broken porcelain
扑克牌,1,Playing cards
猪肉铺,4,Pork shop
葡萄,4,Grape
葡萄皮,4,grapeskin
普通塑料袋,8,Ordinary plastic bag
过期药,2,Expired medicine
过期饼干,4,Expired cookies
漆桶,2,Paint bucket
油漆,2,paint
废油漆,2,Waste paint
其他垃圾桶,1,Other trash cans
象棋,8,Chess
曲奇,4,Cookies
吃过的奇趣蛋,8,Funny eggs
电器,1,Electrical appliances
陶器,8,Pottery
气球,8,balloon
充气娃,1,Inflatable baby
煤气罐,1,Gas tank
废弃布包,1,Discarded cloth bag
废弃地毯,1,Abandoned carpet
废弃电线,1,Discarded wires
铅笔,8,pencil
铅桶,1,Lead bucket
铅芯,8,Lead core
棉签,8,Cotton swab
指甲钳,1,Nail clippers
金枪鱼罐头,1,Canned tuna
墙刷,8,Wall brush
一块墙皮,8,A piece of wall covering
强化玻璃,1,Tempered glass
敲碎的碗,8,Broken bowl
巧克力袋子,8,Chocolate bag
巧克力盒子,8,Chocolate box
茄子,4,eggplant
电子琴,1,Electronic organ
芹菜,4,celery
芹菜叶,4,Celery leaves
家禽内脏,4,Poultry offal
青菜,4,Green vegetables
氢气罐,1,Hydrogen tank
氢气球,8,Helium balloon
氢气球充气钢瓶,1,Hydrogen balloon gas cylinder
滤清器,8,Filter
汽车空气滤清器,1,Car air filter
情趣内衣,8,Sexy lingerie
琼脂,4,Agar
营养琼脂,4,Nutrient agar
秋衣,1,Autumn clothes
棉球,8,Cotton ball
皮球,1,Ball
驱蚊瓶,1,Mosquito repellent bottle
发圈,8,Hair ring
铁圈,1,Iron ring
甜甜圈,4,Donut
围裙,1,apron
燃油罐,1,Fuel tank
染发剂罐,2,Hair dye tank
染发剂壳,2,Hair dye shell
污染报纸,8,Polluting newspapers
丝瓜瓤,4,Loofah
电热毯,1,Electric blanket
退热贴,8,Antipyretic stickers
电热水袋,1,Electric hot water bottle
杏仁,4,almond
瓜子仁,4,Melon seeds
虾仁壳,4,Shrimp shell
无人机,1,Drone
仙人球,4,Cactus
日报,1,daily
日光灯,2,fluorescent lamp
有机溶剂,2,Organic solvents
速溶咖啡包装,8,Instant coffee packaging
电容器,1,Capacitor
美容仪,1,Beauty Instrument
玻璃制容器,1,Glass container
绒娃娃,1,Velvet doll
绒线衣,1,Sweater
羽绒被,1,Duvet
棉柔巾,8,Cotton soft towel
肉,4,Meat
大骨（如：猪腿骨）,8,Large bones (e.g. pork leg bones)
乳牙,8,Deciduous teeth
豆腐乳,4,fermented bean curd
沐浴乳,8,Body Wash
入厕用纸,8,Toilet paper
软骨,4,Cartilage
软盘,8,floppy disk
软糖,4,Fudge
润发乳,8,Conditioner
花洒,1,Shower
披萨饼盒,8,Pizza Box
木塞,8,Cork
软木塞,8,cork
酒瓶塞子,8,Wine bottle stopper
三杯鸡,4,Three cups chicken
三文鱼,4,salmon
伞,8,umbrella
雨伞,8,umbrella
旧雨伞,8,Old umbrella
散粉,8,Loose powder
桑叶,4,Mulberry Leaf
扫帚,8,broom
扫地机,1,Sweeper
彩色笔,8,colour pencil
标签色带,8,Label ribbon
彩色玻璃,1,Multicolored Glass
猫砂,8,Cat litter
砂锅,8,Casserole
砂皮,8,Sand skin
杀虫剂,2,Insecticide
猫沙,8,Nekosha
纱布,8,gauze
纱窗,8,Screen window
防晒霜,8,Sunscreen
防晒霜罐,1,Sunscreen jar
山芋,4,Yam
山竹,4,Mangosteen
羊毛衫,1,Wool sweater
电扇,1,Electric fan
烫伤膏,2,Burn ointment
纸质商标,8,Paper trademark
上衣,1,Jacket
床上用品,1,bed linings
烧鸡,4,Roast chicken
红烧肉,4,Braised pork
勺子,1,spoon
塑料勺,8,Plastic spoon
蛇皮袋,8,Snakeskin bag
摄像机,1,Video camera
摄像头,1,Camera
注射器,8,syringe
无菌注射器包装,8,Sterile syringe packaging
养身壶,1,Health pot
花生,4,peanut
生菜,4,lettuce
生蚝,8,Oysters
棉绳,8,Cotton rope
绳子,1,rope
盛装湿垃圾的垃圾袋,8,Garbage bags for wet garbage
剩菜,4,Leftovers
剩餐,4,Leftovers
剩饭,4,Leftovers
螺狮,4,Snail
螺狮壳,4,Snail shell
施工安全帽,1,Construction helmet
湿纸,8,Wet paper
使用的餐巾纸,8,Napkins used
使用过的餐盒,8,Used lunch box
使用过的猫砂,8,Used cat litter
废台式机,1,Scrap desktop
硬式磁碟机,1,Hard drive
显示器,1,monitor
显示屏幕,1,display screen
芝士,4,Cheese
芝士片,4,Cheese slices
西红柿,4,tomato
乐事薯片,4,Lay's Potato Chips
擦拭过的餐巾纸,8,Wiped napkin
油漆稀释剂,2,Paint thinner
电视,1,television
电视机,1,TV set
废电视,1,Waste TV
试卷,1,Test paper
试纸,8,Test paper
寿司,4,sushi
受污纸巾,8,Contaminated paper towels
受潮的纸张,1,Damp paper
受过污染的纸,8,Contaminated paper
蔬菜,4,vegetable
蔬果,4,Fruits and vegetables
烂蔬菜,4,Rotten vegetables
木梳,1,Wooden comb
梳子,8,comb
木梳子,1,Wooden comb
书,1,Book
熟菜,4,ready meal
熟鸡蛋,4,Hard-boiled eggs
熟虾壳,4,Cooked Shrimp Shell
薯片,4,potato chips
甜芦黍,4,Sweet reed
废金属,1,Scrap metal
金属罐,1,Metal can
美术袋,8,Art bag
美术黏土,8,Art clay
树皮,4,Bark
数学书,1,Math book
漱口水瓶子,1,Mouthwash bottle
牙刷,8,toothbrush
化妆刷,8,Makeup brush
面霜,8,cream
眼霜,8,Eye cream
双面胶,8,Double-sided tape
双面胶带,8,double-sided tape
爽肤水瓶,1,Toner bottle
胶水,8,glue
水笔,8,Pen
水彩,8,watercolor
纸质说明书,1,Paper instructions
瓦斯桶,1,Gas barrel
手撕猪肉,4,Pulled pork
钢丝,1,Steel wire
死花,4,Dead flower
饲料,4,feed
猫饲料,4,Cat feed
饲料袋,8,Feed bag
松子,4,Pine nuts
松子壳,4,Pine nut shell
松木猫砂,8,Pine cat litter
素菜,4,Vegetable
快速面盒,8,Fast noodle box
速冻饺子,4,Quick-frozen dumplings
速冻水饺,4,Quick-frozen dumplings
粟子壳,4,Millet shell
甜芦粟,4,Sweet milo
甜芦粟皮,8,Sweet Milo Bark
塑料,1,plastic
废塑料,1,waste plastic
酸奶袋,8,Yogurt bag
酸奶盖,8,Yogurt cover
蒜,4,garlic
大蒜,4,garlic
废弃计算机,1,Discarded computer
碎布,1,Rags
碎瓷,8,Broken Porcelain
碎骨,4,Broken bones
玉米穗,4,Ear of corn
破损瓷器,8,Broken porcelain
污损纸张,8,Stained paper
破损垃圾袋,8,Damaged garbage bag
笋壳,4,Bamboo shell
笋皮,4,Bamboo shoot skin
竹笋,4,Bamboo shoots
梭子蟹,4,Portunus
压缩瓶,1,Compressed bottle
锁,1,Lock
锁头,1,Lock
厕所手纸,8,Toilet paper
蛋挞,4,egg tart
蛋挞壳,8,Egg tart shell
蛋挞皮,4,Egg tart wrapper
废踏垫,8,Waste mat
脚踏板,8,Foot pedal
海苔,4,Seaweed
海苔袋子,8,Seaweed bag
台灯,1,desk lamp
印台,8,stamp pad
太阳帽,1,sunhat
太阳能热水管,1,Solar hot water pipe
太阳能热水器,1,solar water heaters
痰盂罐,1,Spittoon
毛毯,1,Blanket
碳灰,8,ash
碳粉匣,1,Toner Cartridge
碳纤维,8,carbon fiber
木炭,8,charcoal
炭包,8,Charcoal package
汤骨,8,Soup bone
鱼汤,4,Fish soup
火锅汤底,4,Hot pot soup base
搪瓷,1,enamel
搪瓷杯,8,Enamel Cup
搪瓷碗,1,Enamel bowl
糖,4,sugar
红糖,4,brown sugar
麻辣烫,4,Mala Tang
黄桃,4,Yellow peach
桃板,4,Peach board
淘宝纸盒,1,Taobao carton
碎陶,8,Broken pottery
陶瓷,8,ceramics
笔套,8,Pen case
耳套,1,earmuffs
藤席,8,Fuji seat
旧手提包,1,Old handbag
手提电脑,1,laptop
蹄髈,4,Hoof
猪蹄,4,Trotters
擦鼻涕纸,8,Snot paper
剃须刀,1,Shaver
剃须刀片,1,Razor blade
剃须泡瓶,1,Shaving foam bottle
泡沫填充,8,Foam filling
田螺,4,river snail
甜瓜,4,melon
布条,1,Cloth
面条,4,Noodle
跳蛋,8,Vibrating egg
跳跳糖包装袋,8,Popping candy packaging bag
贴纸,8,sticker
铁,1,iron
暖宝宝帖,8,Warm baby post
餐厅纸,8,Restaurant paper
家庭花卉,4,Family flowers
家庭绿化,4,Family Greening
家庭盆栽树叶,4,Family potted leaves
铜皮,1,Copper
废铜烂铁,1,Scrap copper and rotten iron
儿童尿不湿,8,Diapers in children
儿童电动玩具,1,Children's electric toys
木桶,1,Wooden barrel
筒骨,8,Tube bone
针筒,2,Syringe
骨头,8,bone
透明胶,8,Transparent glue
透明胶带,8,Scotch tape
一次性透明盒子,8,One-time transparent box
地图,1,map
图画,8,picture
涂料,2,coating
涂料桶,2,Paint bucket
屠龙刀,1,Dragon Sword
土豆,4,Potato
兔肉,4,rabbit
兔头,4,Rabbit head
饭团,4,Rice ball
线团,8,Line regiment
纸团,8,Paper ball
火腿,4,Ham
鸡腿,4,drumstick
腿骨,8,Leg bone
拖鞋,8,slippers
蛋挞托,8,Egg Tart Tart
食物托盘,1,Food tray
塑料托盘,1,Plastic tray
脱水机,1,Dehydrator
脱氧剂,8,Deoxidizer
食品用脱氧剂,8,Food deoxidizer
牛蛙,4,Bullfrog
牛蛙骨头,4,Bullfrog bones
布娃娃,1,Ragdoll
棉袜,1,Cotton socks
丝袜,8,Stockings
外套,1,coat
水笔外壳,8,Pen shell
豌豆壳,4,Pea shell
豌豆殼,4,Pea shell
玩具,1,Toy
药丸,2,pill
蟑螂丸,2,Cockroach pill
擦完嘴的纸,8,Wipe the mouth paper
碗,8,Bowl
茶碗,8,Bowl
万能胶水,8,Universal glue
网线,1,cable
鱼网,8,Fishnet
望远镜,1,telescope
夏威夷果,8,Macadamia
夏威夷果壳,8,Macadamia shell
夏威夷果的壳,8,Macadamia shell
围巾,1,scarf
华为P20,1,Huawei P20
维生素,2,Vitamins
人造纤维,8,Man-made fiber
芦苇叶,8,Reed leaf
枯萎的花,4,Withered flower
枯萎的鲜花,4,Withered flowers
牛尾,4,Oxtail
燕尾夹,1,Dovetail clip
长尾夹,1,Elliot folder
未使用的餐巾纸,8,Unused napkins
调味袋,8,Seasoning bag
调味料,4,seasoning
自慰棒,1,Masturbation stick
自慰器,1,Masturbator
卫衣,1,Hoodie
卫生巾,8,sanitary napkin
保温杯,1,Thermos cup
保温棉,8,Insulation cotton
保温瓶,1,Thermos flask
蚊香,8,Mosquito coil
蚊帐,1,mosquito net
蚊子,4,mosquito
文胸,8,Bra
文竹,4,asparagus
公文包,1,briefcase
蜗牛壳,8,snail shell
燕窝,4,Bird's nest
钨丝,1,Tungsten
钨丝灯泡,2,Tungsten bulb
污水袋,8,Sewage bag
油污布,8,Oily cloth
无纺布,8,Non-woven fabric
无纺布袋,1,Non-woven bags
午饭,4,lunch
午餐肉,4,Luncheon meat
午餐肉罐,1,Luncheon meat tin
西瓜,4,watermelon
西药,2,Western medicine
西柚,4,grapefruit
吸尘器,1,Vacuum cleaner
稀饭,4,porridge
草席,8,straw mat
洗发精,8,Shampoo
洗发水,8,shampoo
游戏机,1,Game console
虾,4,Shrimp
虾壳,4,Shrimp shell
吃剩下的葡萄杆,4,Leftover grape stalks
仙人掌,4,Cactus
海鲜,4,seafood
鲜花,4,Fresh flowers
保鲜袋,8,Fresh-keeping bag
化纤衣物,1,Chemical fiber clothing
咸菜,4,pickle
咸鱼,4,Salted fish
咸鸭蛋壳,4,Salted Duck Egg Shell
显卡,1,Graphics card
保险套,8,condom
保险箱,1,safe
线,8,String
电线,1,electric wire
相机,1,camera
茴香,4,fennel
冰箱,1,refrigerator
机箱,1,Chassis
墨襄,8,Moxiang
音响,1,Audio
电脑小音响,1,Computer speaker
橡胶,8,rubber
橡皮,8,Rubber
废橡胶,8,Waste rubber
象牙,8,ivory
小刀,1,Knife
小骨,4,Small bones
羊蝎子,8,Sheep Scorpion
羊蝎子骨头,8,Sheep Scorpion Bones
鞋,1,shoe
布鞋,1,cloth shoes
写字纸,1,Writing paper
机械表,1,Mechanical watch
卸妆巾,8,Makeup remover
卸妆棉,8,Makeup remover
卸妆油,8,makeup remover
蟹,4,crab
螃蟹,4,Crab
青蟹,4,Blue Crab
笔屑,8,Pen scraps
木屑,8,Sawdust
皮屑,8,Dander
笔芯,8,Refill
玉米心,4,Corn heart
信封带,1,Envelope belt
星巴克纸杯,8,Starbucks paper cup
U型回形针,8,U-shaped paper clip
隐形眼镜,8,Contact lens
银行卡,1,Bank card
杏仁壳,4,Almond shell
水性笔,8,Water-based pen
水性漆,2,Water-based paint
鸡胸,4,Chicken breast
胸罩,8,bra
修正带,8,correction tape
小修正带,8,Small correction tape
不锈钢刀,1,Stainless steel knife
不锈钢杯子,1,Stainless steel cup
绣花针,8,Embroidery needle
胡须刀,1,Shaver
旧棉絮,1,Old cotton wool
宣纸,8,Rice paper
宣传单,1,flyer
皮靴,1,Leather boots
雨靴,1,Rain boots
化学试剂包装玻璃瓶,2,Chemical reagent packaging glass bottle
雪糕棒,8,Ice cream stick
雪糕纸,8,Ice cream paper
鸭血,4,Duck blood
血压计,1,sphygmomanometer
压力罐,1,pressure tank
压力锅,1,Pressure cooker
鸭,4,duck
鸭骨,4,Duck bone
绿豆芽,4,Green bean sprouts
牙,8,tooth
雅漾喷雾,8,Avène Spray
亚克力,1,Acrylic
亚克力板,1,Acrylic board
亚克力胶水,8,Acrylic glue
香烟,8,cigarette
盐,4,Salt
污染严重的纸,8,Polluted paper
污染严重的纸盒,8,Severely contaminated carton
污染严重的纸张,8,Heavily contaminated paper
颜料,8,pigment
颜料板,8,Paint board
颜料笔,8,Paint pen
过期的燕麦片,4,Expired oatmeal
验孕棒,8,Pregnancy tests
羊骨,8,Sheep bone
羊毛,1,wool
洋装,1,Dress
海洋球,1,Ocean ball
遮阳帽,1,Sun hat
除氧剂,8,Deoxidizer
环氧树脂,8,Epoxy resin
养生壶,1,Health pot
家养绿植,4,Domestic green plants
腰带,1,belt
腰果,4,cashew
高裤腰带,8,High waistband
咬过的口香糖,8,Chewing gum
草药,4,Herbal medicine
废药,2,Waste medicine
青椰,8,Green Coconut
椰壳,8,Coconut shell
椰子,8,coconut
宣传页,1,Leaflet
广告单页,1,Advertising single page
作业本,1,exercise book
叶,4,leaf
菜叶,4,Vegetable leaf
隔夜饭,4,Overnight meal
乳液罐,1,Lotion tank
乳液瓶,1,Lotion bottle
医用冰袋,8,Medical ice bag
大衣,1,Overcoat
移动电源,1,mobile power
移动硬盘,1,Mobile hard drive
行车记录仪,1,Driving recorder
易拉宝,1,Roll up banner
易拉罐,1,Can
音箱,1,Speaker
旧音箱,1,Old speaker
水银,2,mercury
收银条,1,Cash register
隐形眼镜片,8,Contact lens
过期隐形眼镜,8,Expired contact lenses
印泥,8,Inkpad
打印机,1,printer
英语书,1,English book
樱花,4,Cherry blossoms
樱桃,4,Cherry
樱桃核,4,Cherry pit
婴儿尿不湿,8,Baby's diapers
婴儿纸尿裤,8,Baby diapers
萤石,8,fluorite
荧光棒,8,Light stick
荧光笔,8,Highlighter
眼影,8,Eye shadow
电影票,1,movie ticket
影印纸,1,Photocopy paper
硬盘,1,hard disk
硬板纸,1,Cardboard
硬贝壳,8,Hard shell
游泳裤,1,Swimming trunks
信用卡,1,credit card
包装用纸,1,Packaging paper
厕所用纸,8,Toilet paper
优盘,1,USB flash drive
无线路由器,1,Wireless Router
黄油,4,butter
有机玻璃,1,Plexiglass
婴幼儿尿布,8,Baby diapers
旧衣服属于,1,Old clothes belong
厨余果皮,4,Food waste peel
厨余垃圾,4,Kitchen waste
鱼,4,fish
黄鱼,4,Yellow croaker
雨鞋,1,Rain boots
语文书,1,literature book
羽毛,8,feather
羽毛球,8,badminton
玉,8,Jade
玉米,4,corn
玉镯,1,Jade bracelet
芋艿,4,Taro
芋头,4,Taro
浴巾,8,bath towel
金属元件,1,Metal components
原味鸡,4,Original Chicken
原珠笔,8,Original ball pen
原子笔,8,ball-point pen
芋圆,4,Taro ball
电源器,1,Power supply
电源线,1,power cable
月饼,4,moon cake
月饼盒,1,Moon cake box
运动服,1,Sportswear
运动鞋,1,sports shoes
旧运动鞋,1,Old sneakers
牛杂,4,Beef offal
杂草,4,Weeds
杂志,1,Magazine
盆栽树叶,4,Potted leaves
盆栽植物,4,Potted plants
再生纸,1,Recycled paper
脏布,8,Dirty cloth
鱼内脏,4,Fish offal
枣,4,date
红枣,4,Red dates
枣核,4,Jujube kernels
洗澡掉的头发,8,Hair lost in the shower
人造玻璃,1,Artificial glass
人造奶油,4,Margarine
香皂,8,Soap
碎小肥皂,8,Crushed small soap
干燥剂,8,Desiccant
包装干燥剂,8,Packaging desiccant
石灰干燥剂,8,Lime desiccant
扎带,8,Tie
粽子 包扎线,8,Zongzi bandaging thread
菜渣,4,Food residue
茶渣,4,Tea dregs
豆渣,4,Okara
大闸蟹,4,Hairy crabs
大闸蟹壳,4,Hairy crab shell
炸鸡,4,fried chicken
粘纸,8,Sticker
粘鼠板,8,Sticky mouse board
沾有墨水的纸,8,Ink-stained paper
沾了油污的报纸,1,Greasy newspaper
沾了菜油的餐巾纸,1,Napkins soaked in vegetable oil
蘸酱,4,Dipping sauce
蘸酱盒,8,Dipping sauce box
火锅蘸酱,4,Hot pot dipping sauce
图章,8,stamp
章鱼,4,octopus
纸张,1,Paper
废纸张,1,Waste paper
纸张类,1,Paper
擀面杖,1,Rolling pin
账单,1,bill
照片,2,Photo
旧照片,2,Old photos
照片纸,2,Photo paper
床罩,1,Bedspread
奶罩,8,bra
折扇,8,Folding fan
蔗糖,4,sucrose
珍珠,1,Pearl
黑珍猪,4,Black pig
珍珠米,4,Pearl rice
真空袋,8,Vacuum bag
砧板,1,Chopping board
木砧板,1,Wooden chopping board
针,8,Needle
针管,2,Needle
枕套,1,pillowcase
震动棒,1,Vibrator
蒸汽眼罩,8,Steam eye mask
修正带内芯,8,Correction belt core
证书,1,Certificate
芝麻,4,Sesame
树枝,8,Branches
蜘蛛,4,Spider
树脂,2,Resin
油脂,8,grease
饭汁,4,Rice juice
蟹汁,4,Crab sauce
织物,8,Fabric
直尺,8,ruler
废直式日光灯管,2,Waste straight fluorescent tube
绿植,4,Green plants
植物,4,plant
废植物,4,Waste plant
指甲,8,nail
脚指甲,8,toenail
手指甲脚趾甲,8,Fingernails toenails
纸,1,Paper
瓷制品,8,Porcelain products
铝制品,1,Aluminum products
木制品,1,wooden product
木质菜板,1,Wooden cutting board
三明治包装,8,Sandwich packaging
中药,4,traditional Chinese medicine
中草药,4,Chinese herbal medicine
钟,8,Bell
粥,4,Porridge
圆珠笔,8,Ballpoint pen
猪,4,pig
毛竹,8,bamboo
蜡烛,8,Candle
生日蜡烛,8,Birthday candles
白煮蛋壳,4,Hard boiled eggshell
水煮肉片,4,Poached Pork Slices
煮花生壳,4,Boiled peanut shells
主板,1,Motherboard
主机板,1,motherboard
电路主板,1,Circuit board
鸡爪,4,Chicken feet
猪爪骨头,4,Pork Claw Bones
西装,1,Suit
彩妆,8,Makeup
化妆棉,8,Cotton pad
防撞塑料,8,Anti-collision plastic
塑胶制资料夹,1,Plastic folder
紫菜,4,Seaweed
紫砂茶具,8,Zisha tea set
紫砂碎片,8,Purple Clay Fragment
牛仔裤,1,jeans
葡萄籽,4,Grape seed
西瓜籽,4,Watermelon seeds
被子,1,Quilt
自动铅,8,Automatic lead
自暖包,8,Self-heating bag
油渍的报纸,8,Greased newspaper
有污渍的餐盒,8,Stained lunch box
签字笔,8,signing pen
棕叶,8,Brown leaf
棕子皮,8,Palm skin
棕子叶,8,Palm cotyledons
走油肉,4,Go oily meat
足球,1,football
电钻,1,Electric drill
钻笔,8,Drill pen
钻石,1,Diamond
香烟过滤嘴,8,Cigarette filter
作文书,1,Composition
竹坐垫,8,Bamboo cushion
led灯,2,led lights
PET瓶,1,PET bottle
LED灯泡,2,LED bulb
kt板,1,kt board
cpu,1,cpu
ipad,1,ipad
kindle,1,kindle
PIZZA盒,8,PIZZA box
xbox,1,xbox
iphone x,1,iphone x
IPHONE手机,1,IPhone mobile phone
pp管,1,pp tube
A4纸,1,A4 paper
cd,1,cd
CD机,1,CD player
KINDLE壳,8,KINDLE壳
zippo打火机,8,zippo lighter
x光片,2,x-ray film
x光胶片,2,x-ray film
PVC瓶,1,PVC bottle
剩菜剩饭,4,Leftovers
食物残渣,4,food residue
肉类,4,meat
鱼虾,4,Fish and shrimp
蛋壳,4,eggshell
鱼骨头,4,fish bones
肉骨头,4,Fleshy bones
果皮,4,peel
树叶,4,Leaves
瓜子壳,4,Melon seed shell
花生壳,4,Peanut shells
藜麦,4,Quinoa
鸡骨头,4,Chicken bones
鸭骨头,4,Duck bones
鹅骨头,4,Goose bones
草莓叶,4,Strawberry leaf
米饭,4,rice
豌豆皮,4,Pea skin
韩国泡菜,4,Kimchi
普洱茶,4,Pu'er tea
残枝落叶,4,Stubble
植物枝干,4,Plant branches
杂菜,4,Mixed vegetables
动物尸体,4,Dead animal
牲畜粪便,4,Livestock manure
橘子皮,4,Tangerine skin
香蕉皮,4,Banana peel
苹果皮,4,Apple peel
西瓜皮,4,Watermelon rind
芒果皮,4,Mango peel
山竹壳,4,Mangosteen Shell
洋葱皮,4,Onion skin
中药渣,4,Chinese medicine residue
宠物饲料,4,Pet feed
矿物猫砂,4,Mineral cat litter
食用油,4,Cooking oil
动物粪便,4,Animal droppings
牛排,4,steak
喜糖,4,Wedding candy
咖啡残渣,4,Coffee residue
大白菜,4,Chinese cabbage
粽子馅,4,Zongzi stuffing
宠物粪便,4,Pet feces
猫屎,4,Cat shit
咖啡渣,4,Coffee grounds
鲜花瓣,4,Fresh petals
豆腐猫砂,4,Tofu cat litter
冬枣,4,Winter jujube
大蒜叶,4,Garlic leaves
杏核,4,Apricot Kernel
纸质吸管,4,Paper straw
茶叶渣,4,Tea dregs
小龙虾壳,4,Crayfish shell
榴莲酥,4,Durian Crisp
榴莲肉,4,Durian meat
枇杷核,4,Loquat core
百香果壳,4,Passion Fruit Shell
食品添加剂,4,Food additives
豆制品,4,Soy products
动物内脏,4,animal organs
脆枣,4,Crispy date
废弃食用油,4,Waste cooking oil
废弃调味品,4,Discarded condiments
糖果,4,candy
水蜜桃肉,4,Peach flesh
火龙果,4,Pitaya
火锅底料,4,Hot pot bottom material
螺蛳肉,4,Snail meat
排骨,4,Ribs
蒜皮,4,Garlic peel
叉烧酥,4,Barbecued Pork Crisp
菠萝皮,4,Pineapple peel
南瓜籽,4,Pumpkin seeds
香瓜子,4,Melon seeds
青椒,4,Green pepper
蒜头,4,Garlic
毛豆壳,4,Edamame shell
鸡肉,4,chicken
鸭掌,4,Duck feet
鱼肉,4,Fish
荔枝皮,4,Lychee
方便面面条,4,Instant noodles
螺蛳壳,4,Snail shell
牛油果核,4,Avocado Stone
老鼠,4,mouse
包裹着猫屎的豆腐猫砂,4,Tofu cat litter wrapped in cat feces
茭白,4,Zizania
茭白叶,4,Zizania
葡萄干,4,raisin
火龙果皮,4,Pitaya peel
椰肉,4,Coconut meat
苹果肉,4,Apple meat
香瓜皮,4,Cantaloupe peel
扁豆,4,Lentils
玉米须,4,Corn silk
兔子粪便,4,Rabbit droppings
螃蟹壳,4,Crab shell
吸管纸质包装,4,Straw paper packaging
西餐糕点,4,Western pastries
鸡脚爪,4,Chicken feet
鸭爪,4,Duck claw
山楂,4,Hawthorn
鸭翅,4,Duck wings
扇贝肉,4,Scallop meat
火锅渣,4,Hot pot residue
布丁,4,pudding
奶茶中的珍珠,4,Pearls in milk tea
燕麦,4,oat
薯格,4,Potato grid
甜品,4,Dessert
水果,4,fruit
枯树叶,4,Dead leaves
蔬菜残余,4,Vegetable remnants
西兰花梗,4,Broccoli stem
桃子,4,peach
压缩饼干,4,Compressed biscuits
花生衣,4,Peanut coat
结团猫砂,4,Clumping cat litter
红豆,4,red beans
熟鸡蛋壳,4,Cooked egg shell
蟑螂,4,cockroach
西瓜子,4,Watermelon seeds
鸡屎,4,Chicken shit
盒饭,4,Box lunch
奶油,4,cream
豆芽,4,Bean sprouts
杏仁饼,4,almond cookies
猫屎咖啡,4,Cat feces coffee
水果干,4,Dried fruit
鸭腿,4,Duck leg
车厘子核,4,Cherries
平菇,4,Pleurotus ostreatus
金针菇,4,Enoki mushroom
茨菇,4,Arrowhead
藕片,4,Lotus root slices
葡萄梗,4,Grape stem
咖啡豆,4,Coffee beans
丝瓜皮,4,Loofah
