cn,label,en,cleaned_en
山竹,4,Mangosteen,mangosteen
坏发卡,8,Bad issuance,bad issuance
果酱瓶,1,Jam jar,jam jar
家养绿植,4,Domestic green plants,domestic green plants
高压锅,1,Pressure cooker,pressure cooker
煤饼,8,briquette,briquette
颜料板,8,Paint board,paint board
含汞体温计,2,Mercury thermometer,mercury thermometer
旧瑜伽垫,1,Old yoga mat,old yoga mat
连裤袜,1,Pantyhose,pantyhose
其他玻璃制品,1,Other glass products,other glass products
马桶盖,1,toilet lid,toilet lid
罐头瓶,1,Canned bottle,canned bottle
星巴克纸杯,8,Starbucks paper cup,starbucks paper cup
卷纸内芯,1,Roll paper core,roll paper core
鸭下巴,4,Duck chin,duck chin
足浴袋,8,Foot bath bag,foot bath bag
一次性口罩,8,Disposable mask,disposable mask
香水瓶,1,perfume bottle,perfume bottle
PET塑料瓶,1,PET plastic bottle,pet plastic bottle
焊丝,1,Welding wire,welding wire
生物冰袋,8,Biological ice pack,biological ice pack
蓝罐曲奇盒,1,Blue Jar Cookie Box,blue jar cookie box
布偶,1,Puppet,puppet
雪蟹蟹壳,4,Snow crab crab shell,snow crab crab shell
女生内衣,8,Girls underwear,girls underwear
纳米海绵,8,Nano sponge,nano sponge
芝麻,4,Sesame,sesame
棉花棒,8,Cotton swab,cotton swab
主机板,1,motherboard,motherboard
自行车,1,bike,bike
胸贴,8,Chest stickers,chest stickers
厨房纸,8,Kitchen paper,kitchen paper
避孕套包装,8,Condom packaging,condom packaging
椰壳,8,Coconut shell,coconut shell
蛋卷,4,Egg roll,egg roll
糕点,4,pastry,pastry
热水瓶胆,1,Thermos flask,thermos flask
铁块,1,Iron block,iron block
脆骨,4,Brittle bones,brittle bones
蛋黄酥包装盒,8,Egg yolk crisp packing box,egg yolk crisp packing box
狗粮,4,Dog food,dog food
洗脸巾,8,Face towel,face towel
金属瓶盖,1,Metal bottle cap,metal bottle cap
午餐肉罐头,1,Canned Luncheon Meat,canned luncheon meat
牛蛙骨头,4,Bullfrog bones,bullfrog bones
铁盒子,1,Iron box,iron box
内脏,4,Viscera,viscera
电缆,1,cable,cable
防晒霜,8,Sunscreen,sunscreen
石膏,8,plaster,plaster
菜根,4,Root,root
玻璃罐,1,Glass jar,glass jar
日光灯管,2,Fluorescent tube,fluorescent tube
快递贴纸,8,Express stickers,express stickers
扣子,8,button,button
擦完嘴的纸,8,Wipe the mouth paper,wipe the mouth paper
咖啡杯套,1,Coffee cup set,coffee cup set
包裹着猫屎的豆腐猫砂,4,Tofu cat litter wrapped in cat feces,tofu cat litter wrapped in cat feces
死老鼠,4,dead mouse,dead mouse
膨化食品包装袋,8,Puffed Food Packaging Bag,puffed food packaging bag
鸡骨架,4,Chicken Skeleton,chicken skeleton
淡菜,4,Mussels,mussels
连衣裙,1,dress,dress
桑叶,4,Mulberry Leaf,mulberry leaf
钟,8,Bell,bell
毛笔写过的纸,8,Paper written with a brush,paper written with a brush
精华液瓶,1,Essence bottle,essence bottle
瓷器碎片,8,Porcelain fragments,porcelain fragments
油污纸,8,Oily paper,oily paper
易拉罐盖,1,Can Lid,can lid
酱料,4,Sauce,sauce
木桶,1,Wooden barrel,wooden barrel
瓷器,8,porcelain,porcelain
铁罐,1,Tin can,tin can
薯片袋,8,Potato Chips Bag,potato chips bag
防震膜,8,Shockproof film,shockproof film
蜘蛛,4,Spider,spider
污染较严重的纸张,8,More contaminated paper,more contaminated paper
消费卡,1,consumer card,consumer card
枯树叶,4,Dead leaves,dead leaves
钻头,1,drill,drill
蜡笔,8,crayon,crayon
牛轧糖,4,Nougat,nougat
塑料盖子,8,plastic cap,plastic cap
旧剪刀,1,Old scissors,old scissors
树叶,4,Leaves,leaves
废弃食品袋,8,Food waste bag,food waste bag
输液瓶,2,Infusion bottle,infusion bottle
黑板擦,8,eraser,eraser
风筝,8,Kite,kite
水草,4,Aquatic plants,aquatic plants
睫毛膏,8,mascara,mascara
棉柔巾,8,Cotton soft towel,cotton soft towel
棕榈蜡,1,Palm wax,palm wax
电器,1,Electrical appliances,electrical appliances
魔笔,8,Magic pen,magic pen
保健品瓶子,2,Health care bottle,health care bottle
烧烤木签,8,BBQ wooden sign,bbq wooden sign
儿童玩具,1,kids toys,kids toys
海螺,8,conch,conch
无花果壳,4,Fig shell,fig shell
风扇,1,fan,fan
爆米花,4,Popcorn,popcorn
直尺,8,ruler,ruler
防霉防蛀片,8,Anti-mold and moth-proof tablets,antimold and mothproof tablets
铝罐,1,Aluminum can,aluminum can
玩偶,1,doll,doll
牡蛎肉,4,Oyster Meat,oyster meat
绸带,1,Ribbon,ribbon
菠萝,4,Pineapple,pineapple
粽子 包扎线,8,Zongzi bandaging thread,zongzi bandaging thread
拖线板,1,Drag line board,drag line board
豆浆袋子,8,Soy milk bag,soy milk bag
颜料笔,8,Paint pen,paint pen
洗衣液包装袋,8,Laundry detergent packaging bag,laundry detergent packaging bag
杨桃,4,Carambola,carambola
一次性咖啡纸杯,8,Disposable coffee cup,disposable coffee cup
泡沫饭盒,8,Foam lunch box,foam lunch box
蟑螂丸,2,Cockroach pill,cockroach pill
巧克力盒子,8,Chocolate box,chocolate box
塑料咖啡杯,8,Plastic coffee cup,plastic coffee cup
肯德基炸鸡,4,KFC Fried Chicken,kfc fried chicken
CPU,1,CPU,cpu
铅笔盒,1,Pencil case,pencil case
洗衣粉袋,8,Washing powder bag,washing powder bag
手串,8,Bracelets,bracelets
猫罐头,8,Canned cat,canned cat
金属门吸,1,Metal door stopper,metal door stopper
脱毛膏,8,Hair removal cream,hair removal cream
奶片,4,Milk tablets,milk tablets
墙刷,8,Wall brush,wall brush
盛放厨余果皮的垃圾袋,8,Garbage bag for food waste,garbage bag for food waste
包裹着狗屎的纸巾,8,Paper towel wrapped in shit,paper towel wrapped in shit
碎玻璃,1,shattered glass,shattered glass
碱性无汞电池,8,Alkaline mercury-free battery,alkaline mercuryfree battery
彩色笔,8,colour pencil,colour pencil
长生果,4,Longevity fruit,longevity fruit
珍珠奶茶杯,8,Pearl milk tea cup,pearl milk tea cup
鞋盒,1,Shoe box,shoe box
打印机,1,printer,printer
蚕丝,1,silk,silk
电吹风,1,hair dryer,hair dryer
网线,1,cable,cable
护肤品瓶,1,Skincare bottle,skincare bottle
地铁票,1,Subway ticket,subway ticket
抽纸,8,Draw paper,draw paper
粉扑,8,Powder puff,powder puff
鸡腿,4,drumstick,drumstick
电路板,1,Circuit board,circuit board
徽章,8,badge,badge
旧报刊,1,Old newspapers,old newspapers
北京烤鸭,4,Peking duck,peking duck
丝瓜,4,Loofah,loofah
真空袋,8,Vacuum bag,vacuum bag
牙膏壳,8,Toothpaste shell,toothpaste shell
木屑,8,Sawdust,sawdust
浆糊,8,paste,paste
浴沙,8,Bath sand,bath sand
线团,8,Line regiment,line regiment
脚垫,1,Foot pad,foot pad
秋裤,1,long johns,long johns
塑料沙漏,1,Plastic hourglass,plastic hourglass
咸鸭蛋壳,4,Salted Duck Egg Shell,salted duck egg shell
小龙虾头,4,Crayfish head,crayfish head
油画刷,8,Oil painting brush,oil painting brush
废纸张,1,Waste paper,waste paper
坚果果壳,8,Nut shell,nut shell
铅蓄电池,2,Lead storage battery,lead storage battery
扇贝壳,4,Scallop shell,scallop shell
气垫BB霜,8,Air cushion BB cream,air cushion bb cream
防腐剂,8,preservative,preservative
化妆品密封塑料膜,8,Cosmetic sealing plastic film,cosmetic sealing plastic film
蔬菜茎叶,4,Vegetable stems and leaves,vegetable stems and leaves
报废车辆,1,Scrapped vehicle,scrapped vehicle
垃圾袋,8,garbage bag,garbage bag
荔枝皮,4,Lychee,lychee
泡泡糖,8,bubble gum,bubble gum
豆腐猫砂,4,Tofu cat litter,tofu cat litter
火锅渣,4,Hot pot residue,hot pot residue
液体蚊香,8,Liquid mosquito coil,liquid mosquito coil
蘸酱盒,8,Dipping sauce box,dipping sauce box
一次性塑料调羹,8,Disposable plastic spoon,disposable plastic spoon
滤网,8,Filter,filter
N次贴,8,N posts,n posts
生日蜡烛,8,Birthday candles,birthday candles
金属鱼钩,1,Metal fish hook,metal fish hook
发圈,8,Hair ring,hair ring
多肉植物,4,succulent plants,succulent plants
护肤霜瓶,1,Skin cream bottle,skin cream bottle
塑料牙签,8,Plastic toothpicks,plastic toothpicks
塑料模型,1,Plastic model,plastic model
胸罩,8,bra,bra
化妆镜,8,Makeup mirror,makeup mirror
烤鸡,4,roast chicken,roast chicken
清洁抹布,8,Cleaning cloth,cleaning cloth
杀虫剂,2,Insecticide,insecticide
黑豆,4,Black beans,black beans
计算器,1,Calculator,calculator
盐,4,Salt,salt
牙膏皮,8,Toothpaste skin,toothpaste skin
甜芦黍,4,Sweet reed,sweet reed
脸摩仪,1,Facial massage,facial massage
鱼肠,4,Fish intestines,fish intestines
无纺布收纳箱,1,Non-woven storage box,nonwoven storage box
眼镜架,8,Glasses frame,glasses frame
气泡缓冲材料,1,Bubble cushioning material,bubble cushioning material
钙片,2,Calcium tablets,calcium tablets
玩具,1,Toy,toy
隐形眼镜护理液,8,Contact lens care solution,contact lens care solution
相框,1,Photo frame,photo frame
饲料袋,8,Feed bag,feed bag
西红柿,4,tomato,tomato
羊毛衫,1,Wool sweater,wool sweater
粘鼠板,8,Sticky mouse board,sticky mouse board
干发巾,8,Dry hair towel,dry hair towel
死鱼,4,Dead fish,dead fish
胶囊,2,capsule,capsule
充电电池,2,Rechargeable Battery,rechargeable battery
茶袋,8,Tea bag,tea bag
海藻,4,seaweed,seaweed
米虫,4,Rice bug,rice bug
艾草,4,Wormwood,wormwood
烟缸,1,Ashtray,ashtray
枣子核,4,Jujube kernels,jujube kernels
灭蚊剂瓶,2,Mosquito killer bottle,mosquito killer bottle
收银小票,1,Cashier receipt,cashier receipt
美术袋,8,Art bag,art bag
化学试剂包装玻璃瓶,2,Chemical reagent packaging glass bottle,chemical reagent packaging glass bottle
旧棉絮,1,Old cotton wool,old cotton wool
底片,8,Film,film
牛奶瓶,1,Milk bottle,milk bottle
放大镜,1,magnifier,magnifier
鼻涕纸,8,Snot paper,snot paper
过期的胶囊药物,2,Expired capsule medicine,expired capsule medicine
合金筷子,1,Alloy chopsticks,alloy chopsticks
油渍的报纸,8,Greased newspaper,greased newspaper
姜糖,4,Ginger candy,ginger candy
买菜的包装袋,8,Grocery bags,grocery bags
除草剂,2,herbicide,herbicide
相片底片,2,Photo film,photo film
冬瓜皮,4,Winter Melon Peel,winter melon peel
帆布鞋,1,canvas shoes,canvas shoes
羊大骨,8,Sheep bone,sheep bone
消毒药片,2,Disinfection tablets,disinfection tablets
豌豆皮,4,Pea skin,pea skin
锅盖,8,Lid,lid
鲜花饼,4,Flower cake,flower cake
锁,1,Lock,lock
背心,1,Vest,vest
钢丝球,8,Steel ball,steel ball
木箱,16,Wooden box,wooden box
登山杖,1,Trekking poles,trekking poles
影印纸,1,Photocopy paper,photocopy paper
绿豆,4,green beans,green beans
糯米纸,4,Glutinous rice paper,glutinous rice paper
牛排包装,8,Steak packaging,steak packaging
碎骨头,4,Broken bones,broken bones
番薯,4,Sweet potato,sweet potato
竹笛,8,Bamboo flute,bamboo flute
扫地机器人,1,Sweeping robot,sweeping robot
红枣核,4,Jujube nucleus,jujube nucleus
光碟,8,CD,cd
卷烟,8,cigarette,cigarette
布艺窗帘,1,Fabric curtains,fabric curtains
吸管纸质包装,4,Straw paper packaging,straw paper packaging
台历,1,Desk calendar,desk calendar
叉烧酥,4,Barbecued Pork Crisp,barbecued pork crisp
脏卫生巾,8,Dirty sanitary napkins,dirty sanitary napkins
7号电池（无汞）,8,AAA battery (no mercury),aaa battery no mercury
盐水花生壳,4,Salted peanut shells,salted peanut shells
膨化食品,4,Puffed food,puffed food
冰柜,1,Freezer,freezer
甘蔗渣,4,Bagasse,bagasse
火腿肠,4,Ham sausage,ham sausage
花生,4,peanut,peanut
快递纸袋,1,Express paper bag,express paper bag
积木,1,blocks,blocks
复写纸,8,carbon,carbon
ipad,1,ipad,ipad
过期药片,2,Expired pills,expired pills
沾有油渍的食品包装袋,8,Food packaging bags stained with oil,food packaging bags stained with oil
杂志,1,Magazine,magazine
巧克力,4,chocolate,chocolate
琴弦,8,Strings,strings
牙,8,tooth,tooth
香瓜皮,4,Cantaloupe peel,cantaloupe peel
桃子核,8,Peach pit,peach pit
旧浴缸,8,Old bathtub,old bathtub
鸭爪,4,Duck claw,duck claw
受潮的纸张,1,Damp paper,damp paper
泡沫盒子,8,Bubble box,bubble box
保温袋,1,Insulation bags,insulation bags
苍蝇拍,8,Fly swatter,fly swatter
默写本,1,Transcript,transcript
圆珠笔,8,Ballpoint pen,ballpoint pen
魔方,8,Rubik's Cube,rubiks cube
家电,1,Home appliances,home appliances
氢气球,8,Helium balloon,helium balloon
猪脑,4,Pig brain,pig brain
大块骨头,8,Big bones,big bones
竹制品,8,bamboo product,bamboo product
胶带,8,adhesive tape,adhesive tape
保湿喷雾,8,Moisturizing spray,moisturizing spray
手撕猪肉,4,Pulled pork,pulled pork
保暖瓶,1,Thermos bottle,thermos bottle
干脆面,4,Crispy noodles,crispy noodles
电动剃须刀,1,Electric shaver,electric shaver
生菜,4,lettuce,lettuce
带胶制品,8,Rubber products,rubber products
铝锅,1,Aluminum pan,aluminum pan
木瓶塞,8,Wooden cork,wooden cork
过期的燕麦片,4,Expired oatmeal,expired oatmeal
肮脏塑料袋,8,Dirty plastic bag,dirty plastic bag
奶油,4,cream,cream
包裹着狗屎的塑料袋,8,Plastic bag wrapped in shit,plastic bag wrapped in shit
手持电风扇,1,Handheld electric fan,handheld electric fan
猪肉,4,pork,pork
沙包,8,Sandbag,sandbag
炸鸡包装袋,8,Fried chicken packaging bag,fried chicken packaging bag
饮水机,1,Drinking fountain,drinking fountain
公丁香,4,Male cloves,male cloves
驱蚊贴,8,Mosquito Repellent Patch,mosquito repellent patch
肥料,8,fertilizer,fertilizer
闹钟,1,Alarm clock,alarm clock
空调滤芯,8,Air conditioning filter,air conditioning filter
暖瓶玻璃内胆,1,Thermos glass liner,thermos glass liner
衣服干洗剂瓶,1,Clothes dry cleaner bottle,clothes dry cleaner bottle
瓜子仁,4,Melon seeds,melon seeds
手机充电器,1,mobile phone charger,mobile phone charger
落发,8,Hair loss,hair loss
低温牛奶盒子,1,Low temperature milk box,low temperature milk box
红烧肉,4,Braised pork,braised pork
啤酒瓶盖,1,Beer bottle cap,beer bottle cap
奥特曼卡片,1,Ultraman Card,ultraman card
考试卷,1,Examination papers,examination papers
颜料,8,pigment,pigment
白酒瓶,1,Liquor bottle,liquor bottle
太阳帽,1,sunhat,sunhat
面霜塑料空瓶,1,Face cream plastic empty bottle,face cream plastic empty bottle
卤素灯泡,2,Halogen bulb,halogen bulb
搪瓷杯,8,Enamel Cup,enamel cup
月饼盒,1,Moon cake box,moon cake box
咸蛋壳,4,Salted egg shell,salted egg shell
录音机,1,recorder,recorder
老鼠药,2,Rat poison,rat poison
废瓷砖,8,Waste tiles,waste tiles
莴苣,4,lettuce,lettuce
保险箱,1,safe,safe
吸潮剂,8,Moisture Absorbent,moisture absorbent
大龙虾壳,8,Large lobster shell,large lobster shell
干面条,4,Dried noodles,dried noodles
脏牛奶盒,8,Dirty milk carton,dirty milk carton
螺丝刀,1,screwdriver,screwdriver
枯枝,4,Dead branches,dead branches
显示屏,1,Display screen,display screen
拉拉裤,8,Pull-up pants,pullup pants
除湿机,1,dehumidifier,dehumidifier
碗碟,8,dishes,dishes
脏布,8,Dirty cloth,dirty cloth
藜麦,4,Quinoa,quinoa
柜子,16,cabinet,cabinet
布类,1,Cloth,cloth
牙齿,8,teeth,teeth
瓷碗,8,Porcelain bowl,porcelain bowl
金针菇,4,Enoki mushroom,enoki mushroom
塑料托盘,1,Plastic tray,plastic tray
小修正带,8,Small correction tape,small correction tape
护发素瓶,1,Conditioner bottle,conditioner bottle
化纤衣物,1,Chemical fiber clothing,chemical fiber clothing
眉粉,8,Eyebrow powder,eyebrow powder
电源插头,1,Power plug,power plug
自热包,8,Self-heating pack,selfheating pack
唱片,8,record,record
旧枕头,1,Old pillow,old pillow
真皮制品,1,Leather products,leather products
电熨斗,1,Electric iron,electric iron
青菜杆,4,Greenstalk,greenstalk
即冲奶茶包装盒,1,Instant milk tea packaging box,instant milk tea packaging box
梭子蟹壳,4,Portunus Crab Shell,portunus crab shell
晒鼓墨盒,1,Tantan Cartridge,tantan cartridge
幕布,1,curtain,curtain
甘蔗皮,8,Sugarcane peel,sugarcane peel
螺钉,1,Screw,screw
干果仁,4,Dried nuts,dried nuts
钉子,1,nail,nail
沙拉酱,4,Salad dressing,salad dressing
土豆泥,4,Mashed potatoes,mashed potatoes
巴旦木,4,Batam,batam
过期药,2,Expired medicine,expired medicine
纯棉靠垫,1,Cotton cushion,cotton cushion
隔离霜空瓶,1,Empty bottle of isolation cream,empty bottle of isolation cream
渣土,8,Muck,muck
维生素,2,Vitamins,vitamins
面饼,4,Noodles,noodles
席梦思,16,Simmons,simmons
咖啡胶囊,8,Coffee capsule,coffee capsule
小提琴,16,violin,violin
喜糖铁盒子,1,Wedding candy iron box,wedding candy iron box
豆腐干,4,Dried tofu,dried tofu
隐形眼镜包装盒,1,Contact lens packaging box,contact lens packaging box
菜渣,4,Food residue,food residue
麦子,4,wheat,wheat
枯萎的鲜花,4,Withered flowers,withered flowers
印台,8,stamp pad,stamp pad
虎牙,8,Huya,huya
便签,8,Memo,memo
英语书,1,English book,english book
感冒药,2,Cold medicine,cold medicine
干枯玫瑰花,4,Dry rose,dry rose
冲泡饮料,4,Brewed drink,brewed drink
海螺壳,8,Conch shell,conch shell
西药,2,Western medicine,western medicine
蚊香,8,Mosquito coil,mosquito coil
香烟盒,1,cigarette boxes,cigarette boxes
食用油,4,Cooking oil,cooking oil
书桌,16,desk,desk
牛蛙,4,Bullfrog,bullfrog
蟑螂药,2,Cockroach medicine,cockroach medicine
废矿物油,2,Waste mineral oil,waste mineral oil
曲别针,8,paper clip,paper clip
痰盂罐,1,Spittoon,spittoon
枯萎的花,4,Withered flower,withered flower
精华玻璃瓶,1,Essence glass bottle,essence glass bottle
马克笔,8,marker,marker
阿胶,4,Donkey-hide,donkeyhide
蔬菜,4,vegetable,vegetable
灰尘,8,dust,dust
药包装,2,Medicine packaging,medicine packaging
速溶饮料粉末,4,Instant beverage powder,instant beverage powder
铝制品,1,Aluminum products,aluminum products
柚子皮,4,Grapefruit peel,grapefruit peel
卸妆乳瓶,8,Makeup remover baby bottle,makeup remover baby bottle
甜卢蜀,4,Sweet Lu Shu,sweet lu shu
医用纱布,2,Medical gauze,medical gauze
花卉,4,flowers,flowers
咖啡残渣,4,Coffee residue,coffee residue
使用过的面膜,8,Used mask,used mask
铁棍山药,4,Iron Bar Yam,iron bar yam
蜡纸,8,stencil,stencil
干辣椒,4,Dried chili,dried chili
磨刀器,1,knife sharpener,knife sharpener
未使用的餐巾纸,8,Unused napkins,unused napkins
结婚证书,1,Marriage certificate,marriage certificate
大型烘干机,1,Large dryer,large dryer
炸鸡,4,fried chicken,fried chicken
健身器材,1,Fitness Equipment,fitness equipment
卸妆油,8,makeup remover,makeup remover
牛肋骨,8,Beef ribs,beef ribs
鱼,4,fish,fish
塑料假花,1,Plastic fake flowers,plastic fake flowers
铅酸电池,2,Lead-acid batteries,leadacid batteries
陶器,8,Pottery,pottery
水产及其加工食品,4,Aquatic products and processed foods,aquatic products and processed foods
摩丝罐,8,Mousse jar,mousse jar
塑料挂钩,8,Plastic hook,plastic hook
登机牌,8,boarding pass,boarding pass
玻璃尺,1,Glass ruler,glass ruler
电脑包,1,laptop bag,laptop bag
U型回形针,8,U-shaped paper clip,ushaped paper clip
广告颜料,8,Advertising paint,advertising paint
木质积木,1,Wooden blocks,wooden blocks
坏了的碗,1,Broken bowl,broken bowl
电子游戏机,1,Electronic game console,electronic game console
泡馍,4,Pao Mo,pao mo
醋袋,8,Vinegar bag,vinegar bag
乐高,1,Lego,lego
饰品,8,accessories,accessories
鞋,1,shoe,shoe
水培植物,4,Hydroponic plants,hydroponic plants
蟹汁,4,Crab sauce,crab sauce
手机屏,1,Mobile phone screen,mobile phone screen
废铜烂铁,1,Scrap copper and rotten iron,scrap copper and rotten iron
塑料盆,1,Plastic basin,plastic basin
麻花,4,Twist,twist
外卖餐具,8,Takeaway tableware,takeaway tableware
废衣服,1,Waste clothes,waste clothes
油性笔,8,Oily pen,oily pen
衣架,1,Coat hanger,coat hanger
药剂,2,Pharmacy,pharmacy
糠,4,bran,bran
泔脚,4,Slap,slap
复合包装,8,Composite packaging,composite packaging
铂金纸,8,Platinum paper,platinum paper
茶叶,4,tea,tea
咸蛋,4,Salted egg,salted egg
药材,4,Medicinal materials,medicinal materials
书法纸,1,Calligraphy paper,calligraphy paper
午饭,4,lunch,lunch
圣女果,4,Cherry tomatoes,cherry tomatoes
甲鱼壳,8,Turtle shell,turtle shell
污染较严重的纸,8,More polluted paper,more polluted paper
香烟,8,cigarette,cigarette
杨梅核,4,Bayberry core,bayberry core
丝带,1,Ribbon,ribbon
椅子,16,Chair,chair
燕麦片,4,oatmeal,oatmeal
泡沫箱属于什么垃圾,1,What kind of rubbish does the foam box belong to?,what kind of rubbish does the foam box belong to
平底锅,1,Saucepan,saucepan
绿化,4,Greening,greening
电脑,1,computer,computer
塑料收纳箱,1,Plastic storage box,plastic storage box
玉米,4,corn,corn
硅胶玩具,1,Silicone toys,silicone toys
封箱带,8,Sealing tape,sealing tape
润肤霜玻璃空瓶,1,Empty moisturizer glass bottle,empty moisturizer glass bottle
腊肉,4,Bacon,bacon
假睫毛,8,Fake eyelashes,fake eyelashes
过期指甲油,2,Expired nail polish,expired nail polish
唇膏,8,Lipstick,lipstick
保温材料,8,Insulation Materials,insulation materials
大蒜,4,garlic,garlic
卷筒纸,8,web,web
密码锁,1,password,password
螺狮,4,Snail,snail
橘子,4,tangerinr,tangerinr
奇异果,4,Kiwi,kiwi
木瓜籽,4,Papaya seeds,papaya seeds
安全帽,1,helmet,helmet
502胶水,8,502 glue, glue
铁观音,4,Tieguanyin,tieguanyin
旧纸袋,1,Old paper bag,old paper bag
酱油瓶,1,Soy sauce bottle,soy sauce bottle
蹄髈,4,Hoof,hoof
画纸,1,Drawing paper,drawing paper
污染严重的纸,8,Polluted paper,polluted paper
海绵纸,8,Sponge paper,sponge paper
不锈钢,1,Stainless steel,stainless steel
小型烘干机,1,Small dryer,small dryer
鲍鱼壳,8,Abalone shell,abalone shell
木凳,1,Wooden bench,wooden bench
山楂干,4,Dried hawthorn,dried hawthorn
被污染的垃圾袋,8,Contaminated garbage bags,contaminated garbage bags
薯片外包装,8,Outer packaging of potato chips,outer packaging of potato chips
废弃灯泡,2,Discarded light bulb,discarded light bulb
染发剂,2,Hair dye,hair dye
洗脸仪,1,Facial washing instrument,facial washing instrument
萝卜,4,Radish,radish
调料包,8,seasoning bag,seasoning bag
马应龙,2,Ma Yinglong,ma yinglong
睫毛刷,8,Eyelash brush,eyelash brush
塑料收纳盒,1,Plastic storage box,plastic storage box
床罩,1,Bedspread,bedspread
春梅,4,Spring plum,spring plum
华为手机,1,Huawei cell phone,huawei cell phone
碎玻璃制品,1,Broken glass products,broken glass products
灭蚊片,8,Mosquito killer,mosquito killer
牛奶塑料瓶,1,Milk plastic bottle,milk plastic bottle
树枝,8,Branches,branches
齿轮,1,gear,gear
香槟瓶,1,Champagne bottle,champagne bottle
报纸,1,newspaper,newspaper
包裹着鼻涕的纸巾,8,A tissue wrapped in a mucus,a tissue wrapped in a mucus
油桃核,4,Nectarine pit,nectarine pit
擀面杖,1,Rolling pin,rolling pin
家养盆栽,4,Domestic potted plants,domestic potted plants
童鞋,1,Children's shoes,childrens shoes
白板笔,8,Whiteboard pen,whiteboard pen
金属零件,1,Metal parts,metal parts
汽车雨刮器,8,Car wiper,car wiper
常温牛奶盒,1,Room temperature milk carton,room temperature milk carton
led灯,2,led lights,led lights
胶囊咖啡,8,Capsule coffee,capsule coffee
手风琴,16,accordion,accordion
空罐头,1,Empty can,empty can
金属衣架,1,Metal hanger,metal hanger
麻布,1,Azabu,azabu
小笼包,4,Xiao Long Bao,xiao long bao
墨粉,8,Toner,toner
旧衣服,1,old clothes,old clothes
笔壳,8,Pen case,pen case
雨靴,1,Rain boots,rain boots
烟灰,8,Soot,soot
卤料包,8,Halogen bag,halogen bag
零食包装袋,8,Snack Packaging Bag,snack packaging bag
打印间碎纸,1,Shredded paper in print room,shredded paper in print room
甘蔗,4,sugar cane,sugar cane
烧水壶,1,Kettle,kettle
快递盒,1,Courier box,courier box
湿垃圾袋,8,Wet garbage bag,wet garbage bag
螃蟹壳,4,Crab shell,crab shell
披萨,4,Pizza,pizza
收纳箱,1,Storage Box,storage box
干电池,2,Dry cell,dry cell
蛤蜊壳,8,Clam shell,clam shell
过期茶叶,4,Expired tea,expired tea
白煮蛋,4,Hard boiled egg,hard boiled egg
搅拌器,1,Stirrer,stirrer
砖块,8,Bricks,bricks
长筒连裤袜,8,Pantyhose,pantyhose
足贴,8,Foot Patch,foot patch
纸胶带,8,Paper tape,paper tape
塑料餐具,1,Plastic cutlery,plastic cutlery
秋衣,1,Autumn clothes,autumn clothes
洗澡掉的头发,8,Hair lost in the shower,hair lost in the shower
汉堡包,4,hamburger,hamburger
绘本,1,Picture book,picture book
面膜外层纸,8,Mask outer layer paper,mask outer layer paper
生蚝壳,8,Oyster shell,oyster shell
猪排,4,Pork chops,pork chops
方便面桶,8,Instant noodle bucket,instant noodle bucket
茶叶包,8,Tea bag,tea bag
碎骨,4,Broken bones,broken bones
胶布,8,Tape,tape
板栗,4,Chestnut,chestnut
扇贝肉,4,Scallop meat,scallop meat
松子,4,Pine nuts,pine nuts
腿骨,8,Leg bone,leg bone
腐肉,4,carrion,carrion
厚塑料袋,8,Thick plastic bag,thick plastic bag
菜,4,vegetable,vegetable
节能灯,2,Energy-saving lamps,energysaving lamps
钻笔,8,Drill pen,drill pen
螺丝,1,screw,screw
胶棒,8,Glue stick,glue stick
磁带播放器,1,Tape player,tape player
碎碗,8,Broken bowl,broken bowl
咖啡包,4,Coffee bag,coffee bag
陶瓷类废弃物,8,Ceramic waste,ceramic waste
凤梨酥,4,Pineapple Cake,pineapple cake
台布,1,tablecloth,tablecloth
鸡旦壳,4,Chicken shell,chicken shell
包包,1,Bag,bag
浴室防滑垫,1,Bathroom anti-slip mat,bathroom antislip mat
笔芯,8,Refill,refill
铁棍,1,Iron rod,iron rod
香烟过滤嘴,8,Cigarette filter,cigarette filter
润肤霜,1,Moisturizer,moisturizer
凋谢的鲜花,4,Withered flowers,withered flowers
自慰棒,1,Masturbation stick,masturbation stick
木板,1,board,board
DVD,8,DVD,dvd
紫砂壶,8,Purple Clay Teapot,purple clay teapot
家庭绿化,4,Family Greening,family greening
蜡烛,8,Candle,candle
节能灯泡,2,Energy-saving light bulbs,energysaving light bulbs
一次性电子烟,8,Disposable electronic cigarette,disposable electronic cigarette
卷笔刀,8,Pencil sharpener,pencil sharpener
蘑菇,4,mushroom,mushroom
包装干燥剂,8,Packaging desiccant,packaging desiccant
木棒,1,Wooden stick,wooden stick
无菌包装塑料,8,Aseptic packaging plastic,aseptic packaging plastic
剩莱,4,Leftover,leftover
照片纸,2,Photo paper,photo paper
纸牌,1,card,card
早餐奶包装袋,8,Breakfast milk packaging bag,breakfast milk packaging bag
旧鞋,1,Old shoes,old shoes
液体蚊香瓶,8,Liquid mosquito coil bottle,liquid mosquito coil bottle
靠枕,1,pillow,pillow
口香糖塑料盒,1,Chewing gum plastic box,chewing gum plastic box
水果干,4,Dried fruit,dried fruit
铁衣架,1,Iron hanger,iron hanger
番茄沙司,4,ketchup,ketchup
散粉,8,Loose powder,loose powder
笔记本,1,notebook,notebook
厚纸板,1,Cardboard,cardboard
